contig	strand	ss3	supp_refFlat	supp_ensGene
chr1	+	100038721	1	1
chr1	+	100039833	1	1
chr1	+	100040208	1	1
chr1	+	100040708	1	1
chr1	+	100047909		1
chr1	+	100055974		1
chr1	+	100056400		1
chr1	+	100058158		1
chr1	+	100080495		1
chr1	+	100081420		1
chr1	+	100088310	1	2
chr1	+	100089324	1	2
chr1	+	100089707	1	2
chr1	+	100090208	1	1
chr1	+	100133453	1	2
chr1	+	100134521	1	2
chr1	+	100134904	1	2
chr1	+	100135401	1	2
chr1	+	100161855	1	
chr1	+	100162870	1	1
chr1	+	100163241	1	1
chr1	+	100163741	1	1
chr1	+	100164770		1
chr1	+	100165270		1
chr1	+	100193564		1
chr1	+	100194241		1
chr1	+	100194626		1
chr1	+	100196129		1
chr1	+	100201103	1	1
chr1	+	100202176	1	1
chr1	+	100202559	1	1
chr1	+	100203060	1	2
chr1	+	100222252	1	
chr1	+	100223908	1	
chr1	+	100224406	1	
chr1	+	100224712	1	1
chr1	+	100225035	1	1
chr1	+	100234775	1	
chr1	+	100234953	1	
chr1	+	100299592	1	1
chr1	+	100300051	1	3
chr1	+	100300666	1	3
chr1	+	100303109	1	3
chr1	+	100303434	1	3
chr1	+	100306252	1	3
chr1	+	100306799	1	3
chr1	+	100312477	1	3
chr1	+	100312796	1	3
chr1	+	100313122	1	3
chr1	+	100314202	1	3
chr1	+	100319457	1	3
chr1	+	100319714	1	3
chr1	+	100320204	1	2
chr1	+	100328058	1	5
chr1	+	100328384	1	4
chr1	+	100328389		1
chr1	+	100329018	1	5
chr1	+	100329594	1	5
chr1	+	100330229	1	3
chr1	+	100330436	1	3
chr1	+	100330855	1	3
chr1	+	100336824	1	3
chr1	+	100337444	1	3
chr1	+	100342668	1	3
chr1	+	100393596		1
chr1	+	100393876		1
chr1	+	100395083	1	2
chr1	+	100398834	1	2
chr1	+	100400839	1	1
chr1	+	100401825	1	1
chr1	+	100403977	1	1
chr1	+	100404209	1	1
chr1	+	100404472	1	1
chr1	+	100407127	1	1
chr1	+	100407366	1	1
chr1	+	100450258	1	1
chr1	+	100466554	1	1
chr1	+	100471683	1	2
chr1	+	100472062	1	2
chr1	+	100472236	1	2
chr1	+	100472464	1	2
chr1	+	100472758	1	2
chr1	+	100472799		1
chr1	+	100473218	1	2
chr1	+	100474363	1	1
chr1	+	100476129	1	1
chr1	+	100476805	1	1
chr1	+	100477106	1	1
chr1	+	100501903		1
chr1	+	100502468		1
chr1	+	100505155		1
chr1	+	100505966		1
chr1	+	100584369	1	1
chr1	+	100584592	1	1
chr1	+	100584849	1	1
chr1	+	100585508	1	1
chr1	+	100587713	1	1
chr1	+	100587925	1	1
chr1	+	100588438	1	1
chr1	+	100589499	1	1
chr1	+	100598148	1	3
chr1	+	100600604		1
chr1	+	100601333		1
chr1	+	100601336	1	2
chr1	+	100601758		1
chr1	+	100601779		1
chr1	+	100603733		1
chr1	+	100603927		1
chr1	+	100605003	1	2
chr1	+	100605313	1	
chr1	+	100676048		1
chr1	+	100709006		2
chr1	+	100710214		2
chr1	+	100710483		2
chr1	+	100713320		1
chr1	+	100716850		2
chr1	+	100721209		2
chr1	+	100758278	1	1
chr1	+	100761974	1	1
chr1	+	100765616	1	1
chr1	+	100767578	1	1
chr1	+	100768757	1	1
chr1	+	100770609	1	1
chr1	+	100771761	1	1
chr1	+	100772415	1	1
chr1	+	100774554	1	1
chr1	+	100775770	1	1
chr1	+	100776861	1	1
chr1	+	100780455	1	1
chr1	+	100781252	1	1
chr1	+	100782743	1	1
chr1	+	100824807	1	1
chr1	+	100832428		2
chr1	+	100833307		2
chr1	+	100833929		2
chr1	+	100835096		2
chr1	+	100835256		2
chr1	+	100835525		2
chr1	+	100848844	1	1
chr1	+	100850056	1	1
chr1	+	100850215	1	1
chr1	+	100851128	1	1
chr1	+	100854674	1	2
chr1	+	100854947	1	2
chr1	+	100856275	1	2
chr1	+	100856440	1	2
chr1	+	100856763	1	2
chr1	+	100857025	1	2
chr1	+	100857482	1	2
chr1	+	100857607	1	2
chr1	+	100857767	1	2
chr1	+	100857944	1	2
chr1	+	100858126	1	2
chr1	+	100858279	1	2
chr1	+	100858461	1	2
chr1	+	100858623	1	2
chr1	+	100858763	1	1
chr1	+	100892333	1	2
chr1	+	100892646	1	2
chr1	+	100892991	1	2
chr1	+	100893260	1	2
chr1	+	100894603		1
chr1	+	100894875	1	2
chr1	+	100895112	1	2
chr1	+	100895299	1	2
chr1	+	100895437	1	2
chr1	+	100896336	1	2
chr1	+	100940389	1	1
chr1	+	100946745	1	1
chr1	+	100947004	1	1
chr1	+	100948019	1	
chr1	+	100948046		1
chr1	+	100948728	1	1
chr1	+	100950031	1	1
chr1	+	100950607	1	1
chr1	+	100952413	1	1
chr1	+	100953505	1	1
chr1	+	100953765	1	1
chr1	+	100993236	1	1
chr1	+	100994594	1	1
chr1	+	100994857	1	1
chr1	+	100995082	1	1
chr1	+	100995360	1	1
chr1	+	100996480	1	1
chr1	+	100996974	1	1
chr1	+	101015183	1	1
chr1	+	101015377	1	1
chr1	+	101015566	1	1
chr1	+	101016162	1	1
chr1	+	101016354	1	1
chr1	+	101068810		1
chr1	+	101068912	1	1
chr1	+	101069370	1	2
chr1	+	101070005	1	2
chr1	+	101071248	1	2
chr1	+	101071489	1	2
chr1	+	101071706	1	2
chr1	+	101071969	1	2
chr1	+	101072383	1	2
chr1	+	101153503	1	1
chr1	+	101154325	1	1
chr1	+	101155180	1	1
chr1	+	101155330	1	1
chr1	+	101155699	1	1
chr1	+	101155951	1	1
chr1	+	101156379	1	1
chr1	+	101156683	1	1
chr1	+	101166103	1	2
chr1	+	101166901		1
chr1	+	101167209	1	2
chr1	+	101167600	1	3
chr1	+	101167791	1	3
chr1	+	101168020	1	3
chr1	+	101168202	1	3
chr1	+	101169134	1	3
chr1	+	101169410	1	3
chr1	+	101170217	1	3
chr1	+	101170691	1	3
chr1	+	101171795	1	3
chr1	+	101178513	1	1
chr1	+	101215164	1	2
chr1	+	101215999	1	2
chr1	+	101217156	1	2
chr1	+	101218529	1	2
chr1	+	101218735	1	2
chr1	+	101221590	1	2
chr1	+	101223350	1	2
chr1	+	101226221	1	2
chr1	+	101228186	1	2
chr1	+	101229006	1	2
chr1	+	101229683	1	2
chr1	+	101250325		1
chr1	+	101250662		1
chr1	+	101250943		1
chr1	+	101251302		1
chr1	+	101251554		1
chr1	+	101256839		1
chr1	+	101257260		1
chr1	+	101257588		1
chr1	+	101260705		1
chr1	+	101261030		1
chr1	+	101268047		1
chr1	+	101268454	1	1
chr1	+	101268694	1	1
chr1	+	101268916	1	1
chr1	+	101270762	1	1
chr1	+	101271018	1	1
chr1	+	101271232		1
chr1	+	101274665	1	1
chr1	+	101275132	1	1
chr1	+	101275451	1	1
chr1	+	101275918	1	1
chr1	+	101276294	1	1
chr1	+	101326934	1	1
chr1	+	101327375	1	1
chr1	+	101327641	1	1
chr1	+	101328101	1	1
chr1	+	101328327	1	1
chr1	+	101400801	1	1
chr1	+	101406304	1	1
chr1	+	101407014	1	1
chr1	+	101410496		1
chr1	+	101410791		1
chr1	+	101411498		1
chr1	+	101411829		1
chr1	+	101413007	1	1
chr1	+	101413403	2	2
chr1	+	101428893	1	1
chr1	+	101430607	1	1
chr1	+	101432026	1	1
chr1	+	101432430	1	1
