contig	strand	ss3	supp_refFlat	supp_ensGene
chr1	+	100064819	1	2
chr1	+	100065683	1	2
chr1	+	100066486	1	2
chr1	+	100067504	1	2
chr1	+	100124057		1
chr1	+	100124443		1
chr1	+	100124973		4
chr1	+	100125422		4
chr1	+	100125607		1
chr1	+	100126107		4
chr1	+	100126745		4
chr1	+	100127189		4
chr1	+	100128413		4
chr1	+	100128907		4
chr1	+	100129319		4
chr1	+	100130449		1
chr1	+	100159124	1	2
chr1	+	100159703	1	3
chr1	+	100160014	1	3
chr1	+	100160337	1	3
chr1	+	100160498	1	3
chr1	+	100160728	1	3
chr1	+	100161005	1	3
chr1	+	100161346	1	3
chr1	+	100161584	1	3
chr1	+	100161848		1
chr1	+	100161924	1	2
chr1	+	100161965		1
chr1	+	100272593		2
chr1	+	100278298		2
chr1	+	100283100		2
chr1	+	100287575		1
chr1	+	100290367		3
chr1	+	100293835		3
chr1	+	100295658		3
chr1	+	100297897		2
chr1	+	100297906		1
chr1	+	100298369		3
chr1	+	100300305		3
chr1	+	100301065		3
chr1	+	100303672		3
chr1	+	100307527		3
chr1	+	100313778		3
chr1	+	100314373		3
chr1	+	100314604		3
chr1	+	100314916		3
chr1	+	100315400		3
chr1	+	100317257		3
chr1	+	100318473		3
chr1	+	100320012		3
chr1	+	100325244	1	2
chr1	+	100325827	1	1
chr1	+	100326035	1	1
chr1	+	100327806	1	1
chr1	+	100332348	1	1
chr1	+	100332783	1	1
chr1	+	100335156	1	1
chr1	+	100365395		2
chr1	+	100371959		3
chr1	+	100377647		3
chr1	+	100380793		3
chr1	+	100382637		3
chr1	+	100384931		3
chr1	+	100390056		1
chr1	+	100392868		1
chr1	+	100399550		3
chr1	+	100413828		1
chr1	+	100416128		1
chr1	+	100416689		1
chr1	+	100418823		1
chr1	+	100419105		1
chr1	+	100420677		1
chr1	+	100421232		1
chr1	+	100422829		1
chr1	+	100425315		1
chr1	+	100425477		1
chr1	+	100426285		1
chr1	+	100429498		1
chr1	+	100431277		1
chr1	+	100435156	1	2
chr1	+	100466667	1	2
chr1	+	100468573	1	2
chr1	+	100482293	1	2
chr1	+	100506474		1
chr1	+	100507448		3
chr1	+	100509239		3
chr1	+	100512182		1
chr1	+	100536794		1
chr1	+	100565938	1	1
chr1	+	100566963	1	1
chr1	+	100855854		1
chr1	+	100859755		1
chr1	+	100861414		1
chr1	+	100861802		1
chr1	+	100863295		1
chr1	+	100865018		1
chr1	+	100865084		1
chr1	+	100887060	1	3
chr1	+	100887398	1	2
chr1	+	100887709	1	3
chr1	+	100887984	1	3
chr1	+	100888528	1	2
chr1	+	100888988	1	
chr1	+	100924977		3
chr1	+	100926242		2
chr1	+	100928126		2
chr1	+	100930556		2
chr1	+	100934272		3
chr1	+	100936938		3
chr1	+	101148631		1
chr1	+	101150802		1
chr1	+	101194245	1	1
chr1	+	101201116	1	1
chr1	+	101204871	1	1
chr1	+	101206532	1	1
chr1	+	101208082	1	1
chr1	+	101213294	1	1
chr1	+	101222379	1	1
chr1	+	101222818	1	1
chr1	+	101223521	1	1
chr1	+	101225252	1	1
chr1	+	101227393	1	1
chr1	+	101236537		1
chr1	+	101237104		1
chr1	+	101237447		1
chr1	+	101237678		1
chr1	+	101238276		1
chr1	+	101238476		1
chr1	+	101238859		1
chr1	+	101239104		1
chr1	+	101239277		1
chr1	+	101240804		1
chr1	+	101241114		1
chr1	+	101241703		1
chr1	+	101242152		1
chr1	+	101242569		1
chr1	+	101243200		1
chr1	+	101243799		1
chr1	+	101245835	1	1
chr1	+	101246202	1	1
chr1	+	101247074	1	1
chr1	+	101249052	1	1
chr1	+	101249337	1	1
chr1	+	101259182		2
chr1	+	101259356		1
chr1	+	101261422		2
chr1	+	101262428		2
chr1	+	101262699		2
chr1	+	101263485		2
chr1	+	101263804		2
chr1	+	101264095		2
chr1	+	101264873		2
chr1	+	101265247		2
chr1	+	101266216		2
chr1	+	101267014		2
chr1	+	101267891		2
chr1	+	101331917		1
chr1	+	101379728		1
chr1	+	101462873		1
chr1	+	101463157		1
chr1	+	101846634		1
chr1	+	101850111		1
chr1	+	101883889		1
chr1	+	102339922		1
chr1	+	102444759	1	1
chr1	+	102445008	1	1
chr1	+	102445496	1	1
chr1	+	102449310	1	1
chr1	+	102450235	1	1
chr1	+	102452031	1	1
chr1	+	102454698	1	1
chr1	+	102456573	1	1
chr1	+	102457419	1	1
chr1	+	102901167		2
chr1	+	102910710		2
chr1	+	102913170		2
chr1	+	102914093		2
chr1	+	102917563		2
chr1	+	102922106		2
chr1	+	102929243		2
chr1	+	102932478		2
chr1	+	102947287		1
chr1	+	102947596		2
chr1	+	102952484		1
chr1	+	102953466		2
chr1	+	102953785		2
chr1	+	102958650		2
chr1	+	102959432		2
chr1	+	102961559		2
chr1	+	103008117		1
chr1	+	103024643		1
chr1	+	103159903		1
chr1	+	103200		2
chr1	+	103228077		1
chr1	+	103260560		1
chr1	+	103261597		1
chr1	+	103285267		1
chr1	+	103286377	1	3
chr1	+	103286563	1	3
chr1	+	103286823	1	3
chr1	+	103287058	1	3
chr1	+	103287424	1	3
chr1	+	103287694	1	3
chr1	+	103287975	1	3
chr1	+	103288343		1
chr1	+	103316929		1
chr1	+	103317678		2
chr1	+	103332414		1
chr1	+	103337538		1
chr1	+	103342989		1
chr1	+	103343677		1
chr1	+	103344111		1
chr1	+	103352252		1
chr1	+	103352438		2
chr1	+	103352706		2
chr1	+	103353172		2
chr1	+	103353418		2
chr1	+	103358577		1
chr1	+	103359310		1
chr1	+	103360803		4
chr1	+	103361602		4
chr1	+	103365732		4
chr1	+	103366571		1
chr1	+	103370236		2
chr1	+	103370547		2
chr1	+	103370870		2
chr1	+	103371183		2
chr1	+	103372897		2
chr1	+	103373513		2
chr1	+	103374721		2
chr1	+	103375063		2
chr1	+	103375363		2
chr1	+	103375660		2
chr1	+	103376012		2
chr1	+	103376398		2
chr1	+	103376682		2
chr1	+	103377531		2
chr1	+	103378380		2
chr1	+	103378643		2
