contig	strand	ss5	supp_refFlat	supp_ensGene
chr1	+	100004329		2
chr1	+	100005360		6
chr1	+	100006223		5
chr1	+	100025424		5
chr1	+	100025953		1
chr1	+	100028245		3
chr1	+	100048353		5
chr1	+	100065435		4
chr1	+	100068251		4
chr1	+	100087548		1
chr1	+	100089968		3
chr1	+	100140116		1
chr1	+	100141102		1
chr1	+	100227167		1
chr1	+	100243775		2
chr1	+	100248924		2
chr1	+	100250952		1
chr1	+	100345436		1
chr1	+	100349703		1
chr1	+	100368419		2
chr1	+	100369037		1
chr1	+	100369785		2
chr1	+	100402348		1
chr1	+	100403062		1
chr1	+	100512255		2
chr1	+	100513034		1
chr1	+	100514508		3
chr1	+	100516706		2
chr1	+	100599856		1
chr1	+	100600846		1
chr1	+	100601930		1
chr1	+	100603102		1
chr1	+	100638763		2
chr1	+	100639379		2
chr1	+	100640951		2
chr1	+	100641412		1
chr1	+	100884550		1
chr1	+	100891744		1
chr1	+	100892343		1
chr1	+	100892917		1
chr1	+	100896325		1
chr1	+	100896336		1
chr1	+	100896355		1
chr1	+	100896863		1
chr1	+	100896899		1
chr1	+	101025435		1
chr1	+	101078354		1
chr1	+	101098798		1
chr1	+	101106047		2
chr1	+	101108651		2
chr1	+	101109354		2
chr1	+	101110338		2
chr1	+	101110532		2
chr1	+	101114869		2
chr1	+	101115761		2
chr1	+	101119456		1
chr1	+	101136691		2
chr1	+	101140122		2
chr1	+	101143851		2
chr1	+	101146523		2
chr1	+	101147920		1
chr1	+	101163900		1
chr1	+	101168985		1
chr1	+	101170970		1
chr1	+	101174046		1
chr1	+	101177199		1
chr1	+	101258071		1
chr1	+	101283243		1
chr1	+	101354673		1
chr1	+	101355872		1
chr1	+	101359378		1
chr1	+	101395188		1
chr1	+	101576536		1
chr1	+	101582737		1
chr1	+	101583123		1
chr1	+	101745874		1
chr1	+	101746126		1
chr1	+	101774996		1
chr1	+	101779920		2
chr1	+	101784408		1
chr1	+	101787368		5
chr1	+	101788778		2
chr1	+	101896862		1
chr1	+	101899903		1
chr1	+	101907738		1
